AgeRange,YearsExperience,Industry,Education,Location,Salary,Modality,Gender
26-29,6,Pharmacy,Master's Degree,"Chicago, IL",475000,Hybrid,Male
22-25,5,Fashion,None,"New York, NY",470000,Onsite,Female
30-33,11,Banking,Bachelor's Degree,"New York, NY",460000,Onsite,Female
26-29,5,Marketing,Bachelor's Degree,"New York, NY",457000,Onsite,Female
18-21,4,Tech,Bachelor's Degree,"Las Vegas, NV",455000,Remote,Male
26-29,4,Automotive,Master's Degree,"Detroit, MI",453000,Hybrid,Male
30-33,10,Healthcare,Doctorate Degree,"Austin, TX",450000,Onsite,Male
26-29,5,Engineering,Bachelor's Degree,"New York, NY",450000,Hybrid,LGBTQ+
30-33,1,Medical,Doctorate Degree,"Tampa, FL",450000,Onsite,Male
38-41,15,Legal,Master's Degree,"Washington, DC",438000,Remote,Female
26-29,3,Healthcare,Master's Degree,"Chicago, IL",430000,Hybrid,Male
30-33,13,Advertising,Bachelor's Degree,"New York, NY",400000,Remote,Female
30-33,2,Healthcare,Doctorate Degree,"Charlotte, NC",400000,Onsite,Male
30-33,6,Real Estate,Some College,"Boston, MA",400000,Onsite,Male
38-41,18,Tech,Master's Degree,"Chicago, IL",400000,Onsite,Male
30-33,4,Real Estate,Bachelor's Degree,"Washington, DC",400000,Remote,Female
26-29,5,Finance,Bachelor's Degree,"Nashville, TN",400000,Remote,Male
26-29,12,Real Estate,Some College,"New York, NY",400000,Remote,Male
38-41,7,Healthcare,Doctorate Degree,"New York, NY",400000,Onsite,Male
26-29,3,Healthcare,Bachelor's Degree,"Sacramento, CA",390000,Hybrid,Female
22-25,6,Consulting,Bachelor's Degree,"Los Angeles, CA",380000,Remote,Male
34-37,8,Entertainment,Doctorate Degree,"Los Angeles, CA",375000,Remote,Male
26-29,5,Education,Master's Degree,"Detroit, MI",374440,Hybrid,Female
22-25,2,Legal,Bachelor's Degree,"Boston, MA",370000,Onsite,Female
38-41,5,Legal,Doctorate Degree,"Boston, MA",370000,Hybrid,Female
30-33,9,Real Estate,Trade/Vocational,"Houston, TX",370000,Remote,Male
38-41,12,Legal,Doctorate Degree,"New York, NY",365000,Hybrid,Female
34-37,8,Marketing,Bachelor's Degree,"Hartford, CT",365000,Remote,Male
30-33,4,Healthcare,Doctorate Degree,"Orlando, FL",365000,Hybrid,Male
18-21,3,Real Estate,Associate's Degree,"Seattle, WA",360000,Remote,Female
18-21,5,Fashion,Some College,"Los Angeles, CA",360000,Hybrid,Female
26-29,5,Tech,Master's Degree,"Los Angeles, CA",360000,Remote,Female
38-41,7,Healthcare,Doctorate Degree,"San Francisco, CA",355000,Hybrid,Male
34-37,8,Legal,Doctorate Degree,"Los Angeles, CA",350000,Remote,Female
26-29,5,Media,Bachelor's Degree,"Los Angeles, CA",350000,Remote,Female
38-41,7,Legal,Doctorate Degree,"Denver, CO",350000,Remote,Male
22-25,8,Tech,Trade/Vocational,"Washington, DC",350000,Remote,Male
26-29,1,Insurance,Some College,"Chicago, IL",350000,Onsite,Female
30-33,8,Real Estate,Associate's Degree,"San Francisco, CA",350000,Hybrid,Female
38-41,10,Legal,Doctorate Degree,"Chicago, IL",350000,Remote,Female
30-33,9,Banking,Bachelor's Degree,"New York, NY",350000,Remote,Female
34-37,3,Healthcare,Doctorate Degree,"Washington, DC",350000,Hybrid,Female
34-37,10,Healthcare,Doctorate Degree,"Miami, FL",350000,Hybrid,Male
18-21,2,Telecommunications,Bachelor's Degree,"Dallas, TX",345000,Onsite,Male
22-25,2,Tech,Bachelor's Degree,"Austin, TX",345000,Remote,Male
30-33,10,Consulting,Doctorate Degree,"Seattle, WA",340000,Remote,Female
30-33,7,Legal,Doctorate Degree,"Boston, MA",330000,Hybrid,Male
30-33,6,Legal,Doctorate Degree,"Dallas, TX",330000,Remote,Female
34-37,14,Tech,Bachelor's Degree,"New York, NY",325000,Hybrid,Male
38-41,15,Retail,High School/GED,"Portland, OR",325000,Onsite,Female
26-29,9,Staffing,Bachelor's Degree,"Denver, CO",320000,Remote,Male
42-45,12,Entertainment,Doctorate Degree,"Los Angeles, CA",320000,Remote,Female
22-25,3,Finance,Master's Degree,"New York, NY",320000,Onsite,Male
38-41,11,Healthcare,Doctorate Degree,"Charlotte, NC",315000,Onsite,Male
34-37,14,Entertainment,Some College,"San Francisco, CA",315000,Hybrid,Male
34-37,8,Legal,Doctorate Degree,"New York, NY",310000,Remote,Female
30-33,6,Healthcare,Doctorate Degree,"Washington, DC",310000,Hybrid,Female
26-29,6,Banking,Doctorate Degree,"New York, NY",310000,Onsite,Male
26-29,2,Healthcare,Doctorate Degree,"New York, NY",307000,Hybrid,Male
30-33,5,Legal,Doctorate Degree,"Houston, TX",305000,Remote,Female
22-25,3,Tech,Bachelor's Degree,"Denver, CO",305000,Remote,Female
30-33,7,Legal,Doctorate Degree,"New York, NY",305000,Remote,Female
30-33,5,Legal,Doctorate Degree,"Philadelphia, PA",305000,Onsite,Female
30-33,5,Legal,Doctorate Degree,"Philadelphia, PA",305000,Hybrid,Female
30-33,7,Legal,Doctorate Degree,"New York, NY",302000,Hybrid,Male
30-33,8,Entertainment,Bachelor's Degree,"Los Angeles, CA",300000,Remote,Female
30-33,10,Sales,Bachelor's Degree,"Atlanta, GA",300000,Remote,Female
26-29,8,Real Estate,Some College,"New York, NY",300000,Hybrid,Female
18-21,1,Construction,None,"Minneapolis, MN",300000,Remote,Male
30-33,12,Entertainment,Bachelor's Degree,"Los Angeles, CA",300000,Remote,Female
26-29,6,Tech,Bachelor's Degree,"San Francisco, CA",300000,Remote,Male
34-37,15,Finance,Bachelor's Degree,"New York, NY",300000,Hybrid,Male
26-29,6,Advertising,Bachelor's Degree,"New York, NY",300000,Remote,Female
26-29,10,Insurance,Bachelor's Degree,"San Diego, CA",300000,Onsite,Female
34-37,7,Real Estate,Bachelor's Degree,"Dallas, TX",300000,Remote,Male
18-21,2,Advertising,Associate's Degree,"Orlando, FL",300000,Remote,Female
30-33,10,Advertising,Bachelor's Degree,"New York, NY",300000,Onsite,Female
26-29,6,Aerospace,Doctorate Degree,"Salt Lake City, UT",296300,Onsite,Male
30-33,12,Tech,Bachelor's Degree,"San Francisco, CA",290000,Remote,Female
38-41,14,Legal,Doctorate Degree,"Chicago, IL",290000,Remote,Female
30-33,5,Tech,Doctorate Degree,"New York, NY",285000,Onsite,Male
34-37,11,Consulting,Master's Degree,"New York, NY",285000,Hybrid,Male
26-29,1,Healthcare,Doctorate Degree,"San Francisco, CA",280000,Onsite,Female
30-33,12,Tech,Bachelor's Degree,"Seattle, WA",280000,Remote,Male
30-33,8,Tech,Bachelor's Degree,"San Francisco, CA",278000,Remote,Female
30-33,5,Legal,Doctorate Degree,"Chicago, IL",275000,Hybrid,Female
34-37,3,Healthcare,Doctorate Degree,"Phoenix, AZ",275000,Hybrid,Female
26-29,4,Legal,Doctorate Degree,"Chicago, IL",275000,Remote,Female
26-29,10,Automotive,High School/GED,"Washington, DC",275000,Onsite,Male
34-37,7,Legal,Doctorate Degree,"New York, NY",275000,Remote,Male
30-33,4,Legal,Doctorate Degree,"New York, NY",275000,Hybrid,Male
26-29,3,Legal,Doctorate Degree,"Washington, DC",275000,Remote,Male
30-33,4,Legal,Doctorate Degree,"Washington, DC",275000,Hybrid,Male
30-33,4,Legal,Doctorate Degree,"New York, NY",275000,Hybrid,Female
26-29,2,Healthcare,Doctorate Degree,"Dallas, TX",275000,Onsite,Female
30-33,4,Legal,Doctorate Degree,"Chicago, IL",275000,Remote,Female
26-29,1,Sales,Bachelor's Degree,"Dallas, TX",270000,Remote,Female
22-25,3,Healthcare,Master's Degree,"Atlanta, GA",270000,Hybrid,Female
26-29,6,Tech,Bachelor's Degree,"Los Angeles, CA",270000,Remote,Male
34-37,7,Real Estate,Doctorate Degree,"New York, NY",270000,Hybrid,Male
26-29,7,Tech,Bachelor's Degree,"Dallas, TX",270000,Remote,Male
38-41,13,Tech,Bachelor's Degree,"Los Angeles, CA",270000,Remote,Male
42-45,16,Consumer Goods,Doctorate Degree,"New York, NY",270000,Hybrid,Male
34-37,14,Tech,Bachelor's Degree,"San Francisco, CA",270000,Remote,Male
34-37,14,Healthcare,Bachelor's Degree,"Boston, MA",267000,Remote,Female
26-29,2,Legal,Doctorate Degree,"Los Angeles, CA",265000,Hybrid,Male
22-25,1,Fintech,Some College,"Los Angeles, CA",265000,Hybrid,Male
30-33,8,Finance,Master's Degree,"New York, NY",265000,Remote,Female
