AgeRange,YearsExperience,Industry,Education,Location,Salary,Modality,Gender
2,6,29,4,5,475000,0,2
1,5,13,5,24,470000,1,0
3,11,4,1,24,460000,1,0
2,5,25,1,24,457000,1,0
0,4,36,1,18,455000,2,2
2,4,3,4,11,453000,0,2
3,10,18,2,1,450000,1,2
2,5,11,1,24,450000,0,1
3,1,27,2,40,450000,1,2
5,15,22,4,41,438000,2,0
2,3,18,4,5,430000,0,2
3,13,1,1,24,400000,2,0
3,2,18,2,4,400000,1,2
3,6,31,6,3,400000,1,2
5,18,36,4,5,400000,1,2
3,4,31,1,41,400000,2,0
2,5,14,1,23,400000,2,2
2,12,31,6,24,400000,2,2
5,7,18,2,24,400000,1,2
2,3,18,1,32,390000,0,0
1,6,7,1,19,380000,2,2
4,8,12,2,19,375000,2,2
2,5,10,4,11,374440,0,0
1,2,22,1,3,370000,1,0
5,5,22,2,3,370000,0,0
3,9,31,7,13,370000,2,2
5,12,22,2,24,365000,0,0
4,8,25,1,12,365000,2,2
3,4,18,2,25,365000,0,2
0,3,31,0,38,360000,2,0
0,5,13,6,19,360000,0,0
2,5,36,4,19,360000,2,0
5,7,18,2,36,355000,0,2
4,8,22,2,19,350000,2,0
2,5,26,1,19,350000,2,0
5,7,22,2,10,350000,2,2
1,8,36,7,41,350000,2,2
2,1,21,6,5,350000,1,0
3,8,31,0,36,350000,0,0
5,10,22,2,5,350000,2,0
3,9,4,1,24,350000,2,0
4,3,18,2,41,350000,0,0
4,10,18,2,21,350000,0,2
0,2,37,1,9,345000,1,2
1,2,36,1,1,345000,2,2
3,10,7,2,38,340000,2,0
3,7,22,2,3,330000,0,2
3,6,22,2,9,330000,2,0
4,14,36,1,24,325000,0,2
5,15,32,3,29,325000,1,0
2,9,35,1,10,320000,2,2
6,12,12,2,19,320000,2,0
1,3,14,4,24,320000,1,2
5,11,18,2,4,315000,1,2
4,14,12,6,36,315000,0,2
4,8,22,2,24,310000,2,0
3,6,18,2,41,310000,0,0
2,6,4,2,24,310000,1,2
2,2,18,2,24,307000,0,2
3,5,22,2,13,305000,2,0
1,3,36,1,10,305000,2,0
3,7,22,2,24,305000,2,0
3,5,22,2,26,305000,1,0
3,5,22,2,26,305000,0,0
3,7,22,2,24,302000,0,2
3,8,12,1,19,300000,2,0
3,10,33,1,0,300000,2,0
2,8,31,6,24,300000,0,0
0,1,6,5,22,300000,2,2
3,12,12,1,19,300000,2,0
2,6,36,1,36,300000,2,2
4,15,14,1,24,300000,0,2
2,6,1,1,24,300000,2,0
2,10,21,1,35,300000,1,0
4,7,31,1,9,300000,2,2
0,2,1,0,25,300000,2,0
3,10,1,1,24,300000,1,0
2,6,2,2,33,296300,1,2
3,12,36,1,36,290000,2,0
5,14,22,2,5,290000,2,0
3,5,36,2,24,285000,1,2
4,11,7,4,24,285000,0,2
2,1,18,2,36,280000,1,0
3,12,36,1,38,280000,2,2
3,8,36,1,36,278000,2,0
3,5,22,2,5,275000,0,0
4,3,18,2,27,275000,0,0
2,4,22,2,5,275000,2,0
2,10,3,3,41,275000,1,2
4,7,22,2,24,275000,2,2
3,4,22,2,24,275000,0,2
2,3,22,2,41,275000,2,2
3,4,22,2,41,275000,0,2
3,4,22,2,24,275000,0,0
2,2,18,2,9,275000,1,0
3,4,22,2,5,275000,2,0
2,1,33,1,9,270000,2,0
1,3,18,4,0,270000,0,0
2,6,36,1,19,270000,2,2
4,7,31,2,24,270000,0,2
2,7,36,1,9,270000,2,2
5,13,36,1,19,270000,2,2
6,16,8,2,24,270000,0,2
4,14,36,1,36,270000,2,2
4,14,18,1,3,267000,2,0
2,2,22,2,19,265000,0,2
1,1,15,6,19,265000,0,2
3,8,14,4,24,265000,2,0
4,12,12,1,24,265000,2,2
